"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1985;8.42805213353771;10.3894883688574;-0.930697885993053;-0.469761863132641;-0.263577966904566;17.8377205312877
"Double Breakpoint R";"eng-gb";1986;8.42921878067497;10.4274484388332;-0.932807426028523;-0.478772583799401;-0.26663770767008;17.9133101382904
"Double Breakpoint R";"eng-gb";1987;8.43132856211841;10.4334665295068;-0.931784056646679;-0.480980142218755;-0.264482915981623;17.8697486569663
"Double Breakpoint R";"eng-gb";1988;8.40310548322915;10.422765016219;-0.930134251565742;-0.488274321395217;-0.255417562483829;17.9019666607698
"Double Breakpoint R";"eng-gb";1989;8.42030662927804;10.3911440464927;-0.929902381632474;-0.481548254716033;-0.251759241148639;17.9917673433967
"Double Breakpoint R";"eng-gb";1990;8.42697024942127;10.3884159392129;-0.931699821070375;-0.490887994177684;-0.233062471557233;18.0378893566044
"Double Breakpoint R";"eng-gb";1991;8.39202072597742;10.3781716034603;-0.930274041659156;-0.477856011824818;-0.263657295112189;17.9427631279667
"Double Breakpoint R";"eng-gb";1992;8.39310730105385;10.3275866934472;-0.927451578060988;-0.479886177381621;-0.250854453765212;18.0471587257911
"Double Breakpoint R";"eng-gb";1993;8.37552078304669;10.2788292926205;-0.927131864334883;-0.479498873126716;-0.256458266351692;18.0218145873756
"Double Breakpoint R";"eng-gb";1994;8.36315453431562;10.2714634244989;-0.924602539836295;-0.470102116029145;-0.260402959598327;18.1132967930679
"Double Breakpoint R";"eng-gb";1995;8.40723178612415;10.2591343513224;-0.928172940586407;-0.478251298233693;-0.251810624031089;18.1681650170805
"Double Breakpoint R";"eng-gb";1996;8.37259624326781;10.2239735330104;-0.925519321976434;-0.476123374341455;-0.253716622433574;18.289326775229
"Double Breakpoint R";"eng-gb";1997;8.35313199590648;10.2072233175269;-0.922561723751912;-0.475655971853987;-0.25517575004667;18.2416689155548
"Double Breakpoint R";"eng-gb";1998;8.36499901897126;10.192945282236;-0.92525959441567;-0.477921617585943;-0.248594054898889;18.3680002471154
"Double Breakpoint R";"eng-gb";1999;8.37765132792946;10.2320946681349;-0.92414287359918;-0.48368250355431;-0.245978489269426;18.4116579687181
"Double Breakpoint R";"eng-gb";2000;8.33344690071633;10.1221595500768;-0.91922948232422;-0.479843283297246;-0.245862121367694;18.5722931842947
"Double Breakpoint R";"eng-gb";2001;8.36598821219291;10.1793117228314;-0.920137606364019;-0.481492724576714;-0.252455689932337;18.5294852740853
"Double Breakpoint R";"eng-gb";2002;"Error"
"Double Breakpoint R";"eng-gb";2002;"Error"
"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
